id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type,is_retweet
1874225930484466000,@YellowFlashGuy I fucking hate that city. It’s a trash city with trash people everywhere and you homeless junkies shooting up dope in their arms if you go up further in the Bronx. Completely awful city just like Seattle and Baltimore.,2024-12-31T22:47:37.000Z,1856588176917172224,America ,,,,False
1874193138912559570,"RT @dogs_dc: Tuesday, December 31, 2024

Please 🙏 share from:

Adopt a Homeless Animal Rescue
BALTIMORE, MD  21209

(410) 205-9340

This sw…",2024-12-31T20:37:19.000Z,1824113138175778816,,,,,True
1874177757472837925,"RT @dogs_dc: Tuesday, December 31, 2024

Please 🙏 share from:

Adopt a Homeless Animal Rescue
BALTIMORE, MD  21209

(410) 205-9340

This sw…",2024-12-31T19:36:12.000Z,2369271210,,,,,True
1874170636475785228,"RT @dogs_dc: Tuesday, December 31, 2024

Please 🙏 share from:

Adopt a Homeless Animal Rescue
BALTIMORE, MD  21209

(410) 205-9340

This sw…",2024-12-31T19:07:54.000Z,1658477049483239424,"Silver Spring, MD",,,,True
1874170487028539629,"Tuesday, December 31, 2024

Please 🙏 share from:

Adopt a Homeless Animal Rescue
BALTIMORE, MD  21209

(410) 205-9340

This sweet 62 pound pup brings a unique set of preferences and quirks, with a heart full of love waiting to be shared. She's two years old, healthy, and up to https://t.co/euBUV7aMHp",2024-12-31T19:07:19.000Z,1360734089859518479,"Washington, DC area",,,,False
1874147047432978581,"There are numerous stories from 2024 that highlight humanity's capacity for good, including initiatives like bookmobiles for kids in Baltimore, free shoes for the homeless in Phoenix, and promising developments in affordable treatments for skin cancer
.[](https://t.co/PurY96XyGn) https://t.co/2x4XQg5QrN",2024-12-31T17:34:10.000Z,1610105153285230595,"Atlanta, GA",,,,False
1874129426192998454,"🚋 a bookmobile for kids in Baltimore @StorybookMaze 

👟free shoes for the homeless in Phoenix this holiday szn @CloudCoveredSts 

🔬an affordable treatment for skin cancer in the works by a teen 

on the last day of 2024, give a listen to some of the (many) good stuff that",2024-12-31T16:24:09.000Z,384988656,,,,,False
1873851309067305155,"@GuntherEagleman Well, Austin is actually NYC, and Baltimore, and Philly, and and.. it’s a disgusting, crowded, homeless, crime ridden Left run city as is all Left run s/holes.",2024-12-30T21:59:01.000Z,1813735089076846592,United States,,,,False
1873831590792749494,"RT @BaltimoreBanner: “I am 70 years old and homeless. This is an ordeal I wouldn’t wish on anyone.” 

After losing her home, Baltimore woma…",2024-12-30T20:40:40.000Z,2949144156,,,,,True
1873828562366525477,ICYMI — registration is now open for the 2025 National Health Care for the Homeless Conference &amp; Policy Symposium! Join us May 12-15 in Baltimore where we'll explore the theme: Building Communities. Learn more and register here: https://t.co/xT9Pokftgh #HCH2025 https://t.co/b2gqbmGFNd,2024-12-30T20:28:37.000Z,512215578,"Nashville, TN",,,,False
